name,lat,lng
Naktala Arabinda Sangha,22.4748136,88.3668825
Dhakuria Sarbojanin Durgotsab,22.510483,88.3719863
Netaji Jatiya Sebadal,22.484733,88.3571306
Golfgreen Phase 1 Durgotsab Puja committee,22.4921129,88.3609604
Golf Green Phase II Durga Puja Pandal,22.4948663,88.3630877
Santoshpur Trikon Park Durgotsab,22.4931559,88.3784752
Santoshpur Avenue South Pallymangal Samity,22.4921878,88.3798265
Greenpark Sarbojonin Durgotsob,22.4445235,88.3982179
Santoshpur Lake Pally,22.4917563,88.3829267
Purba Santoshpur Sarbojanin Durgotsab,22.4939632,88.3834209
Rajdanga Naba Uday Sangha,22.5166272,88.3902285
Mudiali Club,22.510194,88.3463122
Durga Mandir - Dhakuria,22.5112439,88.374089
Pally Mangal Samity,22.5049158,88.3744596
77 Pally durgotsab,22.510417,88.371047
Taltala Durga Puja Pandal,22.5030022,88.3646841
Poddar Nagar Park,22.5008706,88.3644681
Babubagan Durgotsav,22.5079875,88.3685745
Abasarika Club,22.5072717,88.3701899
Selimpur pally Durga Puja,22.5046776,88.3683663
Prabhati Sangha Club,22.5057113,88.3499313
Jodhpur Park Durga Puja,22.504822,88.3656746
95 Pally Association,22.508235,88.3627602
19 Pally Sarbhajanan Durgotsava Puja Committee,22.5128521,88.3676357
Ballygunge 21 Pally,22.529175,88.3688163
Ballygunge Pratisthan Durgabari,22.5254205,88.3696551
Ekdalia Evergreen Club,22.5212187,88.3665629
Falguni Sangha,22.5220333,88.3656673
Singhi Park Sarbojanin Durga Puja Committee,22.5209489,88.3627281
Gariahat Hindusthan Club,22.5201571,88.3609098
Tarun Sangha Durga Puja,22.5179798,88.3614637
Tarun Brindo Sarbojonin Durgha Puja Mondop,22.5172902,88.3600953
Triangular Park,22.5180387,88.3581086
Lake Sarbojanin Durga Puja,22.5154415,88.3518112
Manoharpukur Sarbojanin durgotsab,22.5189372,88.3562977
Shraddhanjali Apartment,22.5186059,88.3556078
Tridhara Sammilani,22.5195286,88.3554398
Deshapriya Park,22.5185819,88.3534607
Samaj Sebi Sangha,22.5157267,88.3562977
Ballygunge Cultural Association Durga Puja,22.5162122,88.3558059
Peyara Bagan Durga Puja,22.5292685,88.3542328
PADDAPUKUR BAROWARI DURGA PUJA PANDAL,22.5318163,88.3543776
Paddapukur Youth Association,22.5326316,88.3490333
Paddapukr sarbojonin durga puja committee,22.5318216,88.3522448
Chakraberia Sarbojanin Durgotsab,22.5336065,88.3519214
Dakshin Kolkata Sarbojonin Durgotsob,22.5343183,88.3506784
Northern Park Durga Puja,22.534285,88.3505904
Mallick Bari,22.5335981,88.3490916
Bhowanipur Swadhin Sangha Durga Puja,22.5319324,88.346402
68 Pally Durga Puja,22.5287674,88.3463414
"Aikatan, Dakshin Kolkata Sarbajanin Durgapujo",22.5276927,88.3474328
Abasar Sarbojanin Durgotsab Samity,22.5278699,88.3489227
Bakul Bagan Sarbojanin Durgotsav,22.5267621,88.34826
Gol Math Durga Puja Samiti,22.5268715,88.3495491
22 pally durga puja,22.5246368,88.3476348
Durga puja,22.523789,88.349519
Hazra Udayan Sangha,22.5231351,88.3487101
64 Pally Durga Pujo,22.5205584,88.3475801
Sarat Bose Road Durga Puja pandal,22.5206898,88.3516771
Moitri Sangha Durga Puja Pandel,22.5187116,88.3500909
Adi Lake Palli Club,22.5150666,88.3497199
Bengal United Club,22.5123348,88.3476108
Lake Ave Durga Puja,22.511041,88.3476865
Lake Avenue Sebak Sangha Durga Puja,22.5112558,88.3483336
Lake Youth Corner Durga Puja,22.5106773,88.3472492
Lake Pally Club,22.5149508,88.3480177
Boat Park,22.9774438,88.4396246
