name,type,lat,lng
AP Studio,toilet,22.482905,88.383645
KOLKATA BIO TOILET,toilet,22.4356724,88.2918075
Baghajatin Bazar,toilet,22.4842235,88.3741321
G2 Interior,toilet,22.4850366,88.3712796
Baghajatin Rail Gate Bazar,toilet,22.4801462,88.3902153
Satyajit Ray Metro Station,toilet,22.4839198,88.3922501
"UltraTech Business Solution ( UBS ) - PRABIR SARKAR , Baghajatin , Kolkata",toilet,22.4843808,88.3739794
KOLKATA PLAST,toilet,22.4760781,88.376325
Bijoygarh,toilet,22.487223,88.367746
Pay And Use Toilet,toilet,22.5146536,88.3652903
Pay and Use Toilet,toilet,22.5111446,88.3649693
Pay And Use Toilet,toilet,22.5190877,88.3662724
Pay & Use Toilet,toilet,22.5017837,88.3587283
PAY & USE TOILET,toilet,22.5043208,88.3666567
Pay & Use Toilet,toilet,22.5187165,88.3542249
Pay And Use Toilet - Tollygunge,toilet,22.4933416,88.3450874
Public Toilet,toilet,22.4958589,88.3704953
Sulabh Toilet Complex,toilet,22.5182255,88.3582356
Public Toilet,toilet,22.5192315,88.3651999
PAY & USE TOILET,toilet,22.5150812,88.3594473
Lake gardens Toilet,toilet,22.5120794,88.3536763
Public Toilet,toilet,22.5121451,88.3636952
Jodhpur,toilet,22.5074448,88.363809
Public Toilet & Bathroom,toilet,22.5131275,88.3559613
Public toilet,toilet,22.5201602,88.3463013
Pay and use toilet,toilet,22.5167803,88.354136
PAY & USE TOILET,toilet,22.5086664,88.3457124
SBM TOILET,toilet,22.514632,88.365219
PAY & USE TOILET,toilet,22.5208232,88.3704003
"Toilet, platform No. '02'",toilet,22.5090638,88.3712782
Public Toilet,toilet,22.5005907,88.3451562
Public Toilet,toilet,22.4870563,88.3615838
PAY & USE TOILET,toilet,22.5103744,88.3714478
Public Toilet,toilet,22.5236553,88.3458579
Lake Sanitary Museum (1986),toilet,22.5181133,88.3660978
Pay & Use Toilet,toilet,22.5026848,88.3667246
Public Toilet,toilet,22.5111504,88.3508385
Dhakuria public toilet,toilet,22.5093706,88.3712712
Swachh Public Toilet,toilet,22.5258183,88.3541839
Swachh Public Toilet,toilet,22.5194844,88.381704
PAY & USE TOILET,toilet,22.5255239,88.3472703
PAY & USE TOILET,toilet,22.5292848,88.353682
Bath Palace,toilet,22.5190906,88.3458105
PAY & USE TOILET,toilet,22.5143264,88.3468242
PAY & USE TOILET,toilet,22.4785146,88.355896
PAY & USE TOILET,toilet,22.5288773,88.3666715
"Quiet, conveniently-located, south Kolkata, 3-bedroom, 3-bathroom comfortably furnished apartment - Three-Bedroom Apartment",toilet,22.4909897,88.3616562
Lake mell public toilet,toilet,22.5165824,88.3487111
KMC Pay & Use Toilet,toilet,22.5191825,88.3770026
PAY & USE TOILET,toilet,22.5442175,88.3262759
PAY AND USE TOILET,toilet,22.5388084,88.3217294
SBM TOILET,toilet,22.54051,88.33078
Washroom Or Toilet,toilet,22.5404144,88.3305525
PAY & USE TOILET,toilet,22.5291136,88.3216962
Lane Number 8 Common Toilet,toilet,22.5282731,88.3196911
Sulabh Pay N Use Toilet Complex,toilet,22.5397018,88.3273875
Pay & Use Toilet,toilet,22.5400298,88.343108
PAY & USE TOILET,toilet,22.5419398,88.3268441
